Molecular Weight,XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area,Heavy atom count,Complexity,LogS,DOSE,Weight(mg),Bulk Density,Tapped Density,Carrs Compressibility Index,Hausner Ratio,Angle of Repose,Thickness,Wetting time,Microcrystalline Cellulose,Mannitol,Magnesium Stearate,Talc,Sodium croscarmellose,Aspartame,Hydroxypropyl Cellulose (HPC),Gum,Chitosan,Sodium saccharin,Sodium lauryl sulfate(SLS),Sodium stearyl fumarate ,Polyvinylpyrrolidone (Crospovidone),Sodium starch glycolate,polyvinyl acetate,Lactose,Colloidal silicon dioxide (Aerosil),Citric acid,Menthol,B-cyclodextrin,Stevia leaf Powder ,Clove oil ,Starch,sodium bicarbonate (NaHCO3),Plantago ovata,Pharmaburst,parteck,Polyethylene Glycol,Eudragit EPO,Precirol,acesulfame potassium,Polacrilin Potassium,Acryflow-L,Indion,Lubritose,Sucralose,Silicon dioxide,Neotame,Sucrose,Ocimum sanctum seed powder,Agar,Calcium carbonate,Sodium Saccharine ,Prosolv ODT,Cellactose,Quinoline yellow lake,Aerosol,Sodium behenate,dibasic calcium phosphate,Mucilage powder,GNSP,Ludipress,Kaolin,Methyl paraben,Camphor,CPE,HARDNESS,FRIABILITY,Drug content,Water absorption ratio,DISINTEGRATION_TIME
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.26,23,51,0,2,3,18,1,0,0,0,0,0,0,0,0,0,51,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.54,0,0,22
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.32,25,51,0,2,3,18,1,0,0,0,0,0,0,0,0,0,51,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.65,0,0,18
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.31,24,51,0,2,3,18,1,0,0,0,0,0,0,0,0,0,51,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.54,0,0,19
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.16,26,51,0,2,3,18,1,0,0,0,0,0,0,0,0,0,51,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.63,0,0,16
461.8,2.86,3,5,8,53,29,443,-3.79,5,200,0,0,0,0,0,0,0,0,178,3,3,0,0,0,0,0,5,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.8,0,0,80
461.8,2.86,3,5,8,53,29,443,-3.79,5,200,0,0,0,0,0,0,0,0,176,3,3,0,0,0,0,0,5,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.8,0,0,59
461.8,2.86,3,5,8,53,29,443,-3.79,5,200,0,0,0,0,0,0,0,0,172,3,3,0,0,0,0,0,5,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.1,0,0,40
461.8,2.86,3,5,8,53,29,443,-3.79,5,200,0,0,0,0,0,0,0,0,168,3,3,0,0,0,0,0,5,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.3,0,0,48
461.8,2.86,3,5,8,53,29,443,-3.79,5,200,0,0,0,0,0,0,0,0,164,3,3,0,0,0,0,0,5,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,138
461.8,2.86,3,5,8,53,29,443,-3.79,5,200,0,0,0,0,0,0,0,0,160,3,3,0,0,0,0,0,5,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.1,0,0,95
461.8,2.86,3,5,8,53,29,443,-3.79,5,200,0,0,0,0,0,0,0,0,176,0,2,0,0,0,0,0,5,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.1,0,0,60
